part,STL file,quantity,X mm,Y mm,Z mm,solid PETG grams,nonmanifold edges,components,print notes
Hopper_lower_-1_-1,Hopper_lower_m1_m1.stl,1,181.8,181.8,119.8,206.9,0,1,"2.4 mm walls; 4 mm outside bolt flanges; 0.4 mm module gaps. M4 through-bolts, washers, locknuts. Seal joints externally with tape. Print with flange supports. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Hopper_lower_-1_+1,Hopper_lower_m1_p1.stl,1,181.8,181.8,119.8,206.9,0,1,"2.4 mm walls; 4 mm outside bolt flanges; 0.4 mm module gaps. M4 through-bolts, washers, locknuts. Seal joints externally with tape. Print with flange supports. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Hopper_lower_+1_-1,Hopper_lower_p1_m1.stl,1,181.8,181.8,119.8,206.9,0,1,"2.4 mm walls; 4 mm outside bolt flanges; 0.4 mm module gaps. M4 through-bolts, washers, locknuts. Seal joints externally with tape. Print with flange supports. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Hopper_lower_+1_+1,Hopper_lower_p1_p1.stl,1,181.8,181.8,119.8,206.9,0,1,"2.4 mm walls; 4 mm outside bolt flanges; 0.4 mm module gaps. M4 through-bolts, washers, locknuts. Seal joints externally with tape. Print with flange supports. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Hopper_upper_-1_-1,Hopper_upper_m1_m1.stl,1,181.8,181.8,119.8,207.2,0,1,"2.4 mm walls; 4 mm outside bolt flanges; 0.4 mm module gaps. M4 through-bolts, washers, locknuts. Seal joints externally with tape. Print with flange supports. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Hopper_upper_-1_+1,Hopper_upper_m1_p1.stl,1,181.8,181.8,119.8,207.2,0,1,"2.4 mm walls; 4 mm outside bolt flanges; 0.4 mm module gaps. M4 through-bolts, washers, locknuts. Seal joints externally with tape. Print with flange supports. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Hopper_upper_+1_-1,Hopper_upper_p1_m1.stl,1,181.8,181.8,119.8,207.2,0,1,"2.4 mm walls; 4 mm outside bolt flanges; 0.4 mm module gaps. M4 through-bolts, washers, locknuts. Seal joints externally with tape. Print with flange supports. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Hopper_upper_+1_+1,Hopper_upper_p1_p1.stl,1,181.8,181.8,119.8,207.2,0,1,"2.4 mm walls; 4 mm outside bolt flanges; 0.4 mm module gaps. M4 through-bolts, washers, locknuts. Seal joints externally with tape. Print with flange supports. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Throat_rail_X_-1_-1,Throat_rail_X_m1_m1.stl,1,159.6,24.0,19.4,27.8,0,1,Inward 12 mm support lip; 2 mm vertical clearance over shut doors. M4 attachment. Clear aperture 292 x 292 mm. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Throat_rail_X_-1_+1,Throat_rail_X_m1_p1.stl,1,159.6,24.0,19.4,27.8,0,1,Inward 12 mm support lip; 2 mm vertical clearance over shut doors. M4 attachment. Clear aperture 292 x 292 mm. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
