Test,Required observation / acceptance basis,Measured result,Pass/fail,Date,Operator
Petal capacity,1.000 kg of representative loosest petals fits below fill line with cover; record volume and density,NOT TESTED,,,
Printed dimensions,"Gauge hinges, slots, holes and interface clearances; no forced fit",NOT TESTED,,,
Actual mass,"Weigh complete ready-to-fly system including 1 kg petals; <=21 kg sizing ceiling, recalculate if exceeded",NOT TESTED,,,
CG before/after release,Record X/Y/Z CG with full and empty hopper; verify controller/frame limits,NOT TESTED,,,
Structural load,Engineer establishes proof load and allowable deflection from materials and intended acceleration/landing loads; record no slip/cracking/permanent deformation,NOT TESTED,,,
Door retention,"Full petal batch remains retained, pins/keepers secure and no progressive creep",NOT TESTED,,,
Release torque,"Measure each keeper worst-case release torque; demonstrate chosen actuator duty margin, not just stall rating",NOT TESTED,,,
Release screening,"At least 20 screening cycles with dry/damp full/partial batches; record timing, current, temperature and residual mass each time",NOT TESTED,,,
Cord routing,No snagging; 95-degree nominal stop and secure anchors; test opening shock,NOT TESTED,,,
RC/power loss,No unintended drop or uncontrolled motor operation in defined failsafe tests,NOT TESTED,,,
Electrical build,"Confirm pinouts, polarity, precharge, insulation, fuse fault rating and power separation",NOT TESTED,,,
Motor test,"Props removed: validate motor order, direction, PWM endpoints, startup delay and failsafe",NOT TESTED,,,
Restrained propulsion,Measured bus <=100 A continuous and selected temporary burst envelope; temperatures within manufacturer limits; verify full-charge current cap,NOT TESTED,,,
Thrust reserve,Measure at least 1.8 x actual AUW transient thrust in qualified short burst envelope; sustained hover with thermal margin,NOT TESTED,,,
Flight evaluation,"Progressive controlled tests only after preceding acceptance; record stability, reserve, vibration and post-release response",NOT TESTED,,,
